,Temp_1,Temp_2,Temp_3,Temp_4
0,25.687,26.0,24.188,25.5
1,26.063,26.937,25.562,25.937
2,26.562,26.812,25.5,25.937
3,26.812,26.688,25.75,26.063
4,27.313,27.5,26.812,26.5
5,27.375,27.687,27.125,27.562
6,27.625,27.812,27.0,28.0
7,27.375,27.125,26.812,27.25
8,27.125,27.875,27.375,27.25
9,27.75,27.938,26.625,27.375
10,27.812,28.062,27.0,27.938
11,27.812,28.125,27.125,27.625
12,27.75,28.062,27.5,27.812
13,27.313,28.25,27.062,27.562
14,27.812,28.187,26.625,27.062
15,27.25,27.75,25.812,26.5
16,26.875,27.313,25.0,25.75
17,27.0,27.437,25.187,25.812
18,26.75,26.562,25.0,25.812
19,27.0,27.437,25.687,26.375
20,26.812,27.187,24.625,25.75
21,27.125,27.5,25.562,25.438
22,27.0,27.375,25.562,26.125
23,26.937,26.75,24.562,25.75
24,27.0,26.625,25.5,25.875
25,26.875,27.187,24.375,25.0
26,27.0,27.25,25.625,26.125
27,26.812,26.937,24.188,24.75
28,26.375,27.0,25.5,26.0
29,26.75,27.062,25.125,25.125
30,26.25,27.125,25.0,25.687
31,26.937,26.688,25.687,25.625
32,27.062,27.187,25.438,25.937
33,26.375,27.0,25.125,25.812
34,26.375,26.375,25.75,25.625
35,26.812,26.812,25.062,25.687
36,26.375,27.0,25.187,25.875
37,26.625,27.125,25.75,26.312
38,26.625,26.312,24.25,25.438
39,26.812,27.0,25.625,26.063
40,27.062,27.25,26.312,26.0
41,27.313,27.562,27.0,27.437
42,27.5,27.812,27.125,27.313
43,27.75,27.812,27.313,27.938
44,27.812,28.0,27.562,28.0
45,27.875,28.0,27.75,28.062
46,27.5,28.187,27.062,28.062
47,28.062,28.312,27.875,27.562
48,28.187,28.375,27.938,27.625
49,28.312,27.875,27.938,28.312
50,28.5,27.938,28.187,28.563
51,28.5,28.062,28.187,28.563
52,28.5,28.625,28.375,28.687
